GRTOTLT,GRBKAAT,GRHISPT
97,,
220,2,159
502,14,313
915,96,426
915,96,426
139,7,59
3,1,2
136,6,57
142,23,57
23,,
1,,
22,,
189,7,110
445,59,200
263,52,67
2,0,0
263,52,67
45,1,10
2,0,0
43,1,10
48,7,15
12,,
2,,
10,,
36,10,12
134,34,30
3,1,0
1,0,0
3,1,0
3,1,0
1,0,0
1,0,0
1,0,0
2,1,0
2,1,0
249,32,147
249,32,147
71,8,40
5,0,2
66,8,38
36,10,18
25,,
2,,
23,,
25,0,22
117,14,67
457,150,193
457,150,193
71,15,33
12,1,3
59,14,30
51,28,16
31,,
9,,
22,,
109,30,59
226,77,85
767,25,206
767,25,206
226,3,41
5,0,1
221,3,40
148,8,48
75,,
5,,
70,,
144,2,41
249,12,76
295,58,71
295,58,71
134,13,44
85,7,36
49,6,8
31,8,3
35,,
34,,
1,,
130,37,24
330,7,45
257,5,35
330,7,45
330,7,45
257,5,35
257,5,35
244,5,31
11,0,4
2,0,0
73,2,10
73,2,10
416,15,121
272,7,89
114,3,27
416,15,121
416,15,121
272,7,89
272,7,89
248,7,78
19,0,9
5,0,2
114,3,27
30,5,5
30,5,5
143,9,61
60,5,23
143,9,61
143,9,61
60,5,23
60,5,23
19,3,7
20,1,7
21,1,9
17,0,11
66,4,27
17,0,11
66,4,27
29,0,0
11,0,0
14,0,0
29,0,0
29,0,0
11,0,0
11,0,0
11,0,0
14,0,0
4,0,0
4,0,0
614,25,198
614,25,198
148,4,48
14,0,4
134,4,44
68,4,12
49,,
10,,
39,,
126,3,66
272,14,72
55,0,15
55,0,15
41,0,12
41,0,12
32,,
32,,
14,0,3
447,17,142
95,1,15
68,4,19
393,13,119
393,13,119
94,1,15
2,0,1
92,1,14
37,0,4
47,1,6
8,0,4
60,1,16
54,4,23
54,4,23
1,0,0
1,0,0
8,3,3
16,0,7
268,12,101
13,0,5
226,11,83
3,0,2
42,1,18
432,9,157
432,9,157
110,1,31
49,0,13
61,1,18
96,3,24
104,,
65,,
39,,
46,2,23
180,3,79
466,20,73
466,20,73
86,2,15
38,1,6
48,1,9
71,1,2
47,,
29,,
18,,
45,0,9
264,17,47
174,8,21
174,8,21
102,3,10
102,3,10
57,,
57,,
7,0,2
65,5,9
317,54,57
1,0,0
316,54,57
165,23,33
151,19,29
14,4,4
138,,
131,,
7,,
3,0,1
148,31,23
1036,59,166
414,22,56
383,17,57
1038,59,167
2,0,1
1036,59,166
414,22,56
414,22,56
156,5,19
177,14,25
81,3,12
383,17,57
2,0,1
62,7,12
177,13,41
62,7,12
177,13,41
1075,34,117
509,15,48
387,12,39
1086,34,117
11,0,0
1075,34,117
509,15,48
509,15,48
288,8,24
164,3,19
57,4,5
387,12,39
11,0,0
47,3,4
132,4,26
47,3,4
132,4,26
143,10,26
2,0,0
141,10,26
84,4,15
84,4,15
55,,
55,,
57,6,11
5811,105,421
4057,60,266
1227,32,109
5823,105,423
12,0,2
5811,105,421
4057,60,266
4057,60,266
2678,36,155
1138,19,86
241,5,25
1227,32,109
12,0,2
87,1,10
440,12,36
